fruit_id,day,n_slices
CRI_D7_500_1_23336_01,7,72
CRI_D7_500_2_23163_01,7,72
CRI_D7_500_2_23337_01,7,72
CRI_D7_500_3_23164_01,7,72
CRI_D7_500_3_23338_01,7,72
CRI_D7_500_4_23165_01,7,72
CRI_D7_500_4_23339_01,7,72
CRI_D7_500_5_23166_01,7,72
CRI_D7_500_5_23340_01,7,72
CRI_D7_500_6_23167_01,7,72
CRI_D7_500_6_23341_01,7,72
CRI_D7_50_1_23174_01,7,72
CRI_D7_50_1_23324_01,7,72
CRI_D7_50_2_23175_01,7,72
CRI_D7_50_2_23325_01,7,72
CRI_D7_50_3_23176_01,7,72
CRI_D7_50_3_23326_01,7,72
CRI_D7_50_4_23177_01,7,72
CRI_D7_50_4_23327_01,7,72
CRI_D7_50_5_23178_01,7,72
CRI_D7_50_5_23328_01,7,72
CRI_D7_50_6_23179_01,7,72
CRI_D7_50_6_23329_01,7,72
CRI_D7_Ctrl_1_23180_01,7,72
CRI_D7_Ctrl_2_23181_01,7,72
CRI_D7_Ctrl_3_23182_01,7,72
CRI_D7_Ctrl_4_23183_01,7,72
CRI_D7_Ctrl_5_23184_01,7,72
CRI_D7_Ctrl_6_23185_01,7,72
CRI_D7_cntrl_1_23318_01,7,72
CRI_D7_cntrl_2_23319_01,7,72
CRI_D7_cntrl_3_23320_01,7,72
CRI_D7_cntrl_4_23321_01,7,72
CRI_D7_cntrl_5_23322_01,7,72
CRI_D7_cntrl_6_23323_01,7,72
